"Participant","Recruitment","Experiment_StartDate","Experiment_Duration","Browser_Version","Mobile","Platform","Screen_Width","Screen_Height","Gender","Age","Education","Discipline","Student","Ethnicity","Country","Experiment_Enjoyment","Experiment_Quality","Experiment_Unusual","Experiment_PerceptionChange","Experiment_Feedback","BAIT_AI_Knowledge","BAIT_AI_Use","BAIT_4_VideosRealistic","BAIT_14_ArtRealistic","BAIT_3_VideosIssues","BAIT_2_ImagesIssues","BAIT_12_Benefit","BAIT_6_EnvironmentReal","BAIT_9_Dangerous","BAIT_13_ArtIssues","BAIT_8_TextIssues","BAIT_AttentionCheck","BAIT_1_ImagesRealistic","BAIT_5_ImitatingReality","BAIT_10_Worry","BAIT_11_Exciting","BAIT_7_TextRealistic","film_routine","film_enjoyment","film_quality","film_identification","film_empathy","media_professional","media_area","media_seniority"
"S001",NA,2025-07-29 18:01:38,53.1751666666667,"chrome 138.0.0","false","Windows 10",1920,945,"Male",28,"Master","Engineering, Computer Science",FALSE,"East Asian","United Kingdom",3,3,"Not particularly ","Not particularly ",NA,4,NA,6,6,3,0,6,6,0,0,4,0,6,2,4,6,6,"Not at all","Extremely","Somewhat","Somewhat","Very",TRUE,"Production","Early"
"S002",NA,2025-07-29 18:36:39,49.3539,"chrome 138.0.0","false","Windows 10",2560,1271,"Female",25,"Master","Engineering, Computer Science",TRUE,"Black","United Kingdom",3,4,"Difficult to tell if the labels were jumbled (i.e. whether some that were labelled AI gen were human made and vice versa)","Difficult to tell if the labels were jumbled (i.e. whether some that were labelled AI gen were human made and vice versa)","Good luck with your dissertation!",5,NA,4,2,3,3,0,2,3,3,4,6,4,2,5,3,2,"A little","Extremely","Very","Very","Very",FALSE,NA,NA
"S003",NA,2025-07-30 11:38:48,52.6538833333333,"safari 18.3.0","false","Mac OS",820,1073,"Female",19,"High school",NA,FALSE,"White","United Kingdom",1,2,"I think many of the clips were incorrectly labelled but I think that is part of the experiment ","I think many of the clips were incorrectly labelled but I think that is part of the experiment ",NA,4,NA,5,0,5,5,2,3,5,6,4,6,5,0,5,1,3,"Very","Very","Somewhat","Very","Very",FALSE,NA,NA
"S004",NA,2025-07-30 14:08:51,40.3561333333333,"chrome 138.0.0","false","Mac OS",1074,682,"Female",31,"Bachelor","Media, Communication",FALSE,"White","United Kingdom",2,3,NA,NA,NA,4,NA,4,3,3,2,4,4,5,3,4,6,4,4,6,5,4,"Extremely","Extremely","Very","Extremely","Extremely",TRUE,"Editorial","Experienced"
"S005",NA,2025-07-30 14:37:37,33.1617833333333,"instagram 391.0.0","true","iOS",980,1663,"Female",23,"Bachelor","Political Science, Law",TRUE,"White","United States",4,4,"For the first task it was telling me if it was AI or a Human clip before viewing it. ","For the first task it was telling me if it was AI or a Human clip before viewing it. ","I thought that I would be able to tell the difference between AI and Human made clips, but watching the clips I felt like some of the human made ones looked like AI and vice versa. ",4,"A few times per week",5,4,2,3,2,5,6,5,3,6,5,4,6,0,3,"Very","Extremely","Very","Very","Extremely",FALSE,NA,NA
"S006",NA,2025-07-30 15:13:18,24.2758666666667,"firefox 141.0.0","false","Windows 10",1920,955,"Male",25,"Bachelor","Arts and Humanities",FALSE,"Southeast Asian","United Kingdom",4,3,"Some were labelled incorrectly and were AI when labelled as human or vice versa.","Some were labelled incorrectly and were AI when labelled as human or vice versa.",NA,6,"Never",2,0,5,5,0,2,6,6,4,6,3,4,5,0,5,"Extremely","Extremely","Extremely","Extremely","Extremely",TRUE,"Editorial","Early"
"S007",NA,2025-07-30 17:27:27,93.3812666666667,"chrome 138.0.0","true","Android OS",980,1856,"Male",19,"Bachelor","Biology, Chemistry, Physics",TRUE,NA,"United Kingdom",3,3,"Some of the human made definatly looked ai ","Some of the human made definatly looked ai ",NA,4,"A few times per month",1,2,4,2,5,5,5,6,4,6,4,1,4,6,3,"Very","Very","Extremely","Extremely","Very",TRUE,"Production","Entry"
"S008",NA,2025-07-30 19:38:00,31.1333666666667,"chrome 139.0.0","false","Windows 10",1551,883,"Female",54,"Bachelor","Psychology, Neuroscience",FALSE,"White","United Kingdom",2,4,NA,NA,"If the labels before the clips were true - I found I could remember  some of them rather than being sure I could tell

It was quite long! I wooried that I found the later clips less pleasing because of this",1,"Never",4,4,4,3,3,4,1,1,4,6,4,1,4,4,3,"Somewhat","Very","Somewhat","Somewhat","Somewhat",FALSE,NA,NA
"S009",NA,2025-07-30 19:40:15,56.2339833333333,"edge-chromium 138.0.0","false","Windows 10",1528,738,"Female",19,"High school",NA,FALSE,"White","United Kingdom",4,4,"I thought some 'human-made' labelled clips looked like ai ","I thought some 'human-made' labelled clips looked like ai ","I am very curious to see if AI will be able to recreate movie clips without them looking odd.",2,"A few times per month",4,1,6,5,3,5,5,6,2,6,3,4,4,2,6,"Very","Very","Extremely","Very","Extremely",FALSE,NA,NA
"S010",NA,2025-07-30 19:47:21,50.8859333333333,"edge-chromium 138.0.0","false","Windows 10",1528,704,"Male",46,"Bachelor","Movement Studies and Science",FALSE,"White","United Kingdom",2,4,"Labelling them first could have given preconceptions, but the images did not follow a pattern that might suggest that they would necessarily fit possible preconceptions, so tried to watch without the labels influencing my responses. My responses to how expressive or emotional the clips were mostly dependent on whether there humans in the clips and were emoting, rather than the short clips themselves. ","Labelling them first could have given preconceptions, but the images did not follow a pattern that might suggest that they would necessarily fit possible preconceptions, so tried to watch without the labels influencing my responses. My responses to how expressive or emotional the clips were mostly dependent on whether there humans in the clips and were emoting, rather than the short clips themselves. ",NA,2,"Never",4,1,2,1,1,3,3,4,3,6,5,3,5,2,2,"A little","Somewhat","Very","Very","Very",FALSE,NA,NA
