"Participant","Stimulus","Rating_RT_Phase1","Condition","Enjoyable","Likeable","Pleasing","Expressive","Emotional","Participant","Stimulus","Rating_RT_Phase2","Confidence_label","by","all.x"
"yawbjcqgk1","Stimuli46","39675","AI",2,2,2,2,0,"yawbjcqgk1","Stimuli68","6143",6,"Participant",TRUE
"yawbjcqgk1","Stimuli61","17542","AI",2,2,2,4,4,"yawbjcqgk1","Stimuli40","1840",6,"Stimulus",TRUE
"yawbjcqgk1","Stimuli68","12897","AI",4,4,4,4,4,"yawbjcqgk1","Stimuli33","2819",0,"Participant",TRUE
"yawbjcqgk1","Stimuli52","12974","AI",1,1,1,1,1,"yawbjcqgk1","Stimuli34","2083",5,"Stimulus",TRUE
"yawbjcqgk1","Stimuli57","10079","AI",4,4,5,5,5,"yawbjcqgk1","Stimuli65","2365",5,"Participant",TRUE
"yawbjcqgk1","Stimuli5","20801","Human",5,5,5,5,5,"yawbjcqgk1","Stimuli62","3630",3,"Stimulus",TRUE
"yawbjcqgk1","Stimuli22","12570","Human",5,5,5,5,5,"yawbjcqgk1","Stimuli5","1770",2,"Participant",TRUE
"yawbjcqgk1","Stimuli33","9394","Human",5,5,5,5,5,"yawbjcqgk1","Stimuli22","1736",4,"Stimulus",TRUE
"yawbjcqgk1","Stimuli60","21544","AI",5,2,2,4,4,"yawbjcqgk1","Stimuli9","2441",5,"Participant",TRUE
"yawbjcqgk1","Stimuli34","14248","Human",3,3,3,3,3,"yawbjcqgk1","Stimuli45","1650",5,"Stimulus",TRUE
"yawbjcqgk1","Stimuli48","11430","AI",5,5,5,5,5,"yawbjcqgk1","Stimuli58","1750",5,"Participant",TRUE
"yawbjcqgk1","Stimuli20","9107","Human",5,5,5,5,5,"yawbjcqgk1","Stimuli56","2360",5,"Stimulus",TRUE
"yawbjcqgk1","Stimuli15","13575","Human",3,1,1,2,2,"yawbjcqgk1","Stimuli28","1799",5,"Participant",TRUE
"yawbjcqgk1","Stimuli47","7781","AI",4,4,4,4,4,"yawbjcqgk1","Stimuli10","1490",5,"Stimulus",TRUE
"yawbjcqgk1","Stimuli12","15817","Human",3,3,3,3,3,"yawbjcqgk1","Stimuli19","1167",0,"Participant",TRUE
"yawbjcqgk1","Stimuli8","8918","Human",4,4,4,4,4,"yawbjcqgk1","Stimuli51","1715",3,"Stimulus",TRUE
"yawbjcqgk1","Stimuli45","12655","AI",5,5,5,5,5,"yawbjcqgk1","Stimuli48","1519",5,"Participant",TRUE
"yawbjcqgk1","Stimuli38","9540","AI",6,6,6,6,6,"yawbjcqgk1","Stimuli64","1619",3,"Stimulus",TRUE
"yawbjcqgk1","stimuli3","10574","Human",4,4,4,4,4,"yawbjcqgk1","Stimuli23","1194",3,"Participant",TRUE
"yawbjcqgk1","Stimuli40","10407","AI",1,1,1,1,1,"yawbjcqgk1","Stimuli59","1718",5,"Stimulus",TRUE
"yawbjcqgk1","Stimuli66","10307","AI",4,4,4,4,4,"yawbjcqgk1","Stimuli46","1370",5,"Participant",TRUE
"yawbjcqgk1","Stimuli53","10575","AI",1,1,1,1,1,"yawbjcqgk1","Stimuli53","2738",5,"Stimulus",TRUE
"yawbjcqgk1","Stimuli35","14071","Human",3,3,3,3,3,"yawbjcqgk1","Stimuli61","1729",3,"Participant",TRUE
"yawbjcqgk1","Stimuli42","16955","AI",0,0,0,0,0,"yawbjcqgk1","Stimuli57","1815",6,"Stimulus",TRUE
"yawbjcqgk1","Stimuli64","9830","AI",4,4,4,4,4,"yawbjcqgk1","Stimuli20","1369",0,"Participant",TRUE
"yawbjcqgk1","Stimuli67","9137","AI",5,5,5,5,5,"yawbjcqgk1","Stimuli52","1690",6,"Stimulus",TRUE
"yawbjcqgk1","Stimuli59","8924","AI",5,5,5,5,5,"yawbjcqgk1","Stimuli67","1448",5,"Participant",TRUE
"yawbjcqgk1","Stimuli29","8117","Human",1,1,1,1,1,"yawbjcqgk1","Stimuli13","1497",3,"Stimulus",TRUE
